,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
evToSales,7.52521845074534,4.638260553497475,4.29604907532309,4.207303847771273,3.293263554598194,3.0316111260295657,3.638171339478651,2.904439606623369,3.5794116358524803,3.420591074356345,4.20586830203143,4.15770588239133,2.1922887570430123,6.466961980338249,3.3229250735697646,3.2418202162084566,1.8657365160043484,0.7763962100853875,0.6463732149076976,0.764623396606377,0.7601648352749593,1.9482086618845778,0.9147380764181114,0.2590102358423952,0.26592850605105256,0.3872259121316218,0.4783265643704429,0.4716546370816097,0.798204735431071,0.9049990502456807,0.633796481468154,1.029846218016654,1.214412920658315,1.543423284479519,0.8131445678233439,0.4051456976016684
enterpriseValueOverEBITDA,26.709057496462002,14.741690706641242,13.33796032731438,12.595921198396217,9.68399028609221,8.384509725105023,10.758894245547053,8.701405363343149,9.316899885311337,10.133985527615085,13.800571486064996,13.506956226546528,8.87711588829323,25.995627813127932,18.673930112307243,20.74496896279284,25.787032747913187,16.17144723489933,13.952913533834586,12.168175893175075,3.5036927713625867,10.983742584558824,10.49123342084942,-2.0022396069868997,-2.2957638279192274,5.02168,6.54068869047619,10.336233626373629,4.984032563876652,8.110282681818182,3.5872106354378817,6.262033850402762,6.7355245231607626,8.538564158004158,4.284213207756233,4.796724987654321
evToOperatingCashFlow,25.60658133979172,17.39065298447424,14.735247490255393,15.016848427247956,10.722411856230465,8.71868917283981,11.137265419590374,9.249762851116161,11.015544995752714,9.866385014468811,14.75277009948911,17.559441961216656,7.42010697582326,28.381332595978062,28.91094495315315,17.815304706903355,16.537936419700213,16.6750563183391,41.23861111111111,22.1658123027027,7.346726246973366,14.975328235588972,7.0122050477419355,9.755592978723406,5.038294797687861,-17.847887666666665,5.963830122116689,-5.779399447004609,6.142103105320304,30.2097302010582,3.654191746887967,10.733150721893491,16.815901360544217,21.846007234042553,4.909844342857143,2.9323375396226417
evToFreeCashFlow,28.157641150498975,20.489588448207893,17.794625070732458,18.628212814153823,13.274689415294315,10.154102931009774,13.327445490981964,11.132490988293338,13.513932462585034,12.310920743691193,16.65216462304237,19.94034997585513,8.479617308562581,34.62218762265834,41.06353025975688,19.851339530549453,20.377879440633244,38.552730208,-44.18422619047619,-87.24841012765957,8.44004990264256,15.91253253262317,7.558357318497913,-7.365668594377511,5.785121681415929,-10.735571528822055,7.617578509532063,-4.354616944444445,7.791841542699725,-196.88410372413793,4.760325464864865,20.304878417910448,32.95916666666667,40.265189803921565,6.236294225806452,3.6827935924170614
earningsYield,0.02875781992128926,0.047724509234188035,0.05609658983279221,0.055222811196344194,0.07060180957213023,0.07995208393535408,0.06139015560143684,0.07501973278524283,0.07309363893587602,0.06819953587170355,0.04906705712087549,0.04484088325683153,0.05818604006126384,0.02123964052557265,0.028183064686656115,0.027439326625891842,0.01498742960619894,0.00839917630636439,0.011509568435451242,-0.004102614410463049,0.11294083761764677,0.04631516282511018,0.0518329497126961,-0.5004665881130479,-0.26914038342609775,0.09916984919241034,0.06197096288563031,0.024110482277709167,0.08874931676422215,0.050286805050174965,0.12583978705021398,0.07797060157143915,0.07998600244957133,0.046446427098535616,0.07255249682897534,0.05475421672276216
freeCashFlowYield,0.03674935915635308,0.05086837078067066,0.06042178758409013,0.05913229978448273,0.08267089120932107,0.10448545740796975,0.07753401074441149,0.09031859721073461,0.07260498187160772,0.07913114113159585,0.05768434303927087,0.0487123912101536,0.10107326818254705,0.027242147630625782,0.022146872853314986,0.04675990117895426,0.041161129135865206,0.015215899105732589,-0.01487390382427545,-0.007712915091670533,0.10331356519985754,0.05787468765666846,0.12060806098196925,-0.1192499334355492,0.14908266336837767,-0.09332257034851821,0.11534595350002802,-0.23944203089587032,0.12156981881287789,-0.004704249504693787,0.1960451419308597,0.04602669872499051,0.029994750918589247,0.021831961124657295,0.11683778710120706,0.1893957332541445
debtToEquity,3.957039440456695,2.7410043320661304,2.4133013523477094,1.7999060031183092,1.5082924623193943,1.432616982950023,1.0783974468161404,0.6754486074351067,0.48941713898993316,0.5189062194087319,0.5731623108953569,0.5012958280657396,0.8816928197812649,0.7442196531791907,0.7232572115384616,0.5471470667023841,0.5858944050433412,0.6137816717973005,0.537973137973138,0.5359693877551021,0.6564402240077916,0.6626932989690721,1.6120584652862362,2.5275,1.6064139941690962,1.1478800413650465,1.224926563155686,1.552319842053307,0.9309556470050298,0.9773627617430674,1.056668970283345,0.8465679676985195,1.0757726819541376,0.7667464114832536,0.6714697406340058,0.7018181818181818
debtToAssets,0.7982666847799239,0.7326921031797611,0.7070285050242668,0.6428451530564666,0.6013224075651412,0.5889200778384336,0.5188600709975457,0.4031449275362319,0.32859641948382406,0.34163150613125265,0.36433768272082784,0.3339087598155828,0.468563630850096,0.4266777133388567,0.41970357454228424,0.35364903471560905,0.3694409937888199,0.38033749082905355,0.3497935852651635,0.3489453579139678,0.39629575187417315,0.39856616934702577,0.617160177197482,0.7165131112686038,0.616331096196868,0.5344246509388542,0.5504431453894022,0.6081995745503771,0.48200757575757575,0.4942759015455066,0.5137768817204301,0.4584548104956268,0.5182516810758886,0.43369418132611637,0.4017241379310345,0.41239316239316237
netDebtToEBITDA,0.8976003309888291,0.5978866357195212,0.9326678044560821,1.1609789862738185,0.8597493624971022,0.48172297497189515,0.3470305599145811,0.04734609451689805,-0.1787187333688132,-0.268624445782473,-0.5665056846765268,-0.39850079503293706,-1.4804887171175665,-1.5659745478901541,-1.8597614198428862,-1.6035829122645844,-4.956594323873122,-11.395973154362416,-7.2781954887218046,-5.913946587537092,-0.5144341801385681,-0.9430147058823529,-1.0173745173745175,0.27729257641921395,0.36611062335381916,0.009378663540445486,-0.9032738095238095,0.4230769230769231,-0.2775330396475771,-0.6463068181818182,-0.25661914460285135,-0.43843498273878023,-0.0776566757493188,-1.1746361746361746,-1.5955678670360112,-2.080246913580247
currentRatio,1.3636044481554577,1.540125617208044,1.1329261875803294,1.2760628484139107,1.352669417512594,1.1087706239920605,1.0801128483167317,1.6786385084062485,1.4958486845519174,1.6084376117268502,2.0112923462986196,2.7424821832087605,2.4616803860346295,2.361114098290139,2.2421573172616287,2.9563719862227327,2.6324626865671643,2.4976665252439543,3.249698431845597,3.388010540184453,2.8075530263838595,2.7663008392511297,2.432894736842105,1.8833883388338835,2.254118821767349,2.2468817204301077,2.302469135802469,1.729665071770335,2.4950911640953715,2.353327855382087,2.3398247322297956,2.5631284916201116,2.1559854897218864,2.7286012526096033,3.164133738601824,2.7864406779661017
interestCoverage,,18.382829977628635,22.500925925925927,27.588893671975892,42.1510989010989,98.92905866302866,139.27864583333334,368.7867647058824,51.252757352941174,65.90558766859345,59.61414790996785,29.646191646191646,10.55895865237366,7.740340030911901,7.152284263959391,9.918032786885245,5.803030303030303,1.0,1.3384615384615384,-0.18772563176895307,1.9640287769784173,2.067278287461774,4.217948717948718,-95.0,,12.961538461538462,125.0,2.413793103448276,13.571428571428571,,,,,,,
