,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
fillingDate,2020-10-30,2019-10-31 00:00:00,2018-11-05 00:00:00,2017-11-03 00:00:00,2016-10-26 00:00:00,2015-10-28 00:00:00,2014-10-27 00:00:00,2013-10-30 00:00:00,2012-10-31 00:00:00,2011-10-26 00:00:00,2010-10-27 00:00:00,2009-10-27 00:00:00,2008-11-05 00:00:00,2007-11-15 00:00:00,2006-12-29,2005-12-01,2004-12-03,2003-12-19,2002-12-19 00:00:00,2001-12-21,2000-12-14 00:00:00,1999-12-22 00:00:00,,1997-12-05 00:00:00,1996-12-19 00:00:00,1995-12-19 00:00:00,1994-12-13 00:00:00
acceptedDate,2020-10-29 18:06:25,2019-10-30 18:12:36,2018-11-05 08:01:40,2017-11-03 08:01:37,2016-10-26 16:42:16,2015-10-28 16:31:09,2014-10-27 17:11:55,2013-10-29 20:38:28,2012-10-31 17:07:19,2011-10-26 16:35:25,2010-10-27 16:36:21,2009-10-27 16:18:29,2008-11-05 06:16:23,2007-11-15 16:49:37,2006-12-29 06:05:58,2005-11-30 21:22:48,2004-12-02 18:05:49,2003-12-19 17:25:45,2002-12-19 17:20:21,2001-12-21 00:00:00,2000-12-14 00:00:00,1999-12-22 00:00:00,,1997-12-05 00:00:00,1996-12-19 00:00:00,1995-12-19 00:00:00,1994-12-13 00:00:00
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
otherLiabilities,0.0,50503000000,48914000000,11747000000,12985000000,12989000000,7598000000,6344000000,5465000000,3627000000,2370000000,2139000000,3775000000,897000000,369000000,293000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
totalLiabilities,258549000000,248028000000,258578000000,241272000000,193437000000,170990000000,120292000000,83451000000,57854000000,39756000000,27392000000,15861000000,18542000000,10815000000,7221000000,4085000000,2974000000,2592000000,2203000000,2101000000,2696000000,2057000000,2647000000,3033000000,3306000000,3330000000,2919000000
commonStock,16976763000,45174000000,40201000000,35867000000,31251000000,27416000000,23313000000,19764000000,16422000000,13331000000,10668000000,8210000000,7177000000,5368000000,4355000000,3521000000,2514000000,1926000000,1826000000,1693000000,1502000000,1349000000,633000000,498000000,439000000,398000000,298000000
retainedEarnings,14966000000,45898000000,70400000000,98330000000,96364000000,92284000000,87152000000,104256000000,101289000000,62841000000,37169000000,23353000000,13845000000,9101000000,5607000000,4005000000,2670000000,2394000000,2325000000,2260000000,2285000000,1499000000,898000000,589000000,1634000000,2464000000,2096000000
accumulatedOtherComprehensiveIncomeLoss,-406000000,-584000000,-3454000000,-150000000,634000000,-345000000,1082000000,-471000000,499000000,443000000,-46000000,77000000,8000000.0,63000000,-794000000,-664000000,-108000000,-97000000,-56000000,-33000000,-387000000,106000000,-39000000,-74000000,-30000000,78000000,-22000000
othertotalStockholdersEquity,33802237000,-1291000000,-245000000,-478000000,-540000000,308000000,1324000000,-366000000,491000000,420000000,0.0,0.0,0.0,0.0,0.0,-60000000,-93000000,-62000000,-7000000.0,-11000000,0.0,0.0,0.0,-37000000,-15000000,39000000,-11000000
totalStockholdersEquity,65339000000,90488000000,107147000000,134047000000,128249000000,119355000000,111547000000,123549000000,118210000000,76615000000,47791000000,31640000000,21030000000,14532000000,9984000000,7466000000,5076000000,4223000000,4095000000,3920000000,4107000000,3104000000,1642000000,1200000000,2058000000,2901000000,2383000000
totalLiabilitiesAndStockholdersEquity,323888000000,338516000000,365725000000,375319000000,321686000000,290345000000,231839000000,207000000000,176064000000,116371000000,75183000000,47501000000,39572000000,25347000000,17205000000,11551000000,8050000000,6815000000,6298000000,6021000000,6803000000,5161000000,4289000000,4233000000,5364000000,6231000000,5303000000
totalInvestments,153814000000,157054000000,211187000000,248606000000,217101000000,184546000000,141395000000,132502000000,110505000000,71755000000,39750000000,28729000000,12615000000,6034000000,3718000000,4770000000,2495000000,1170000000,2124000000,2154000000,3622000000,2239000000,819000000,229000000,193000000,196000000,54000000
totalDebt,107440000000,108047000000,114483000000,115680000000,87032000000,64328000000,35295000000,16960000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304000000,316000000,317000000,300000000,300000000,954000000,976000000,1135000000,764000000,597000000
netDebt,69424000000,59203000000,88570000000,95391000000,66548000000,43208000000,21451000000,2701000000,-10746000000,-9815000000,-11261000000,-5263000000,-11875000000,-9352000000,-6392000000,-3491000000,-2969000000,-3092000000,-1936000000,-1993000000,-891000000,-1026000000,-527000000,-254000000,-417000000,8000000.0,-606000000
link,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/0001193125-10-238044-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/0001193125-09-214859-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/0001193125-08-224958-index.html,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/0001047469-07-009340-index.html,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/0001047469-02-007674-index.html,https://www.sec.gov/Archives/edgar/data/320193/000091205701544436/a2066171z10-k405.htm,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/0000912057-00-053623-index.html,https://www.sec.gov/Archives/edgar/data/320193/000091205799010244/0000912057-99-010244-index.html,,https://www.sec.gov/Archives/edgar/data/320193/000104746997006960/0001047469-97-006960-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019396000023/0000320193-96-000023-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019395000016/0000320193-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019394000016/0000320193-94-000016-index.html
finalLink,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/a2181030z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/a2096490z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000091205701544436/a2066171z10-k405.htm,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/a2032880z10-k.txt,https://www.sec.gov/Archives/edgar/data/320193/0000912057-99-010244.txt,,https://www.sec.gov/Archives/edgar/data/320193/0001047469-97-006960.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-96-000023.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-95-000016.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-94-000016.txt
