,Country,Sector,Industry,Net_Income_Ratio,Operating_Income_Ratio,Gross_Profit_Ratio,EPS,Working_Capital,ROE,PE_Ratio,PB_Ratio,Current_Ratio,Debt_To_Equity,Debt_To_Asset,Dividend_Yield,Market_Capital,Net_Income_Ratio_Ranking,Operating_Income_Ratio_Ranking,Gross_Profit_Ratio_Ranking,EPS_Ranking,Working_Capital_Ranking,ROE_Ranking,PE_Ratio_Ranking,PB_Ratio_Ranking,Current_Ratio_Ranking,Debt_To_Equity_Ranking,Debt_To_Asset_Ranking,Dividend_Yield_Ranking,Market_Capital_Ranking
GPM,US,Financial Services,Asset Management,9.215961,-0.008522,-0.005929,1.9407,,0.2432675862574325,3.9081290337107686,0.9507211168134108,0.0,0.47448863080497256,0.32179877205694923,0.12171721703679715,366654373.855,72,3158,3611,1333,4157,568,2022,1264,4175,1286,1050,210,3217
NIE,US,Financial Services,Asset Management,9.058384,0.409833,0.437643,3.8779,,0.1558075724251852,5.17511982109698,0.8063228563345792,,0.0112724780816229,0.011146825892698076,0.07574020316348207,556080235.342,73,633,1906,650,4157,987,2084,987,4184,294,48,393,2935
CATY,US,Financial Services,Banks Regional,8.866776786,11.0977732601,1.0,3.47841,-15654874000.0,0.12166546149712132,10186.950646554535,1239.4000516614558,-0.00020259776204544644,6.886622530873479,0.8732030097693486,3.48618949727077e-05,2843534468726.0,74,55,8,757,4107,1332,4571,4405,4176,4222,4014,2229,94
CFB,US,Financial Services,Banks Regional,8.82336535482,8.82336535482,0.9884522406249375,0.58615,,0.04732532859963699,23.525423712288838,1.113348407629761,,7.196263903570882,0.8779931915608125,0.0010450266304416899,669839389.36,75,68,41,2235,4157,2461,3505,1563,4184,4268,4060,2130,2807
MFNC,US,Financial Services,Banks Regional,8.73266078184,11.1664564943,1.0,1.28747,-1108031000.0,0.08553659545822294,11.841085151624549,1.0128461104008795,0.04300649925506877,7.1526503992737105,0.877340502655543,0.034000201233508096,163999029.35,76,53,8,1760,3846,1951,2694,1394,3983,4264,4056,909,3754
FIBK,US,Financial Services,Banks Regional,8.57819905213,11.1421800948,1.0,2.83322,-12289700000.0,0.08987536620487611,13.119014009127074,1.1790761883171956,0.019232764330803547,6.271562639654402,0.8624779776293686,0.03335380696057326,2374541535.652,77,54,8,952,4097,1882,2835,1667,4035,4157,3949,927,1977
UVSP,US,Financial Services,Banks Regional,8.39752108357,10.2291081012,1.0,2.24596,,0.09734388747515264,11.023443603828419,1.0730648537597647,0.0,6.970298701568013,0.8745341878086366,0.032348692141106805,724449690.1999999,78,60,8,1189,4157,1742,2596,1491,4175,4238,4030,955,2759
BRKL,US,Financial Services,Banks Regional,8.25727195707,10.9224324579,1.0,1.09843,-6733378000.0,0.09276273627705409,13691.729118150417,1270.0822573638493,0.004963671316854361,7.3088019746067605,0.8796457054752075,2.9234034903520522e-05,1200997403056.8,79,56,8,1881,4052,1826,4612,4410,4134,4285,4078,2239,151
NFBK,US,Financial Services,Banks Regional,8.24318787134,8.24318787134,1.0,0.85309,,0.0578211202653434,18551.63759825525,1072.6764686877832,,6.264899339371965,0.8623518436682912,2.705964597253117e-05,746425138765.8,80,75,8,2052,4157,2333,4642,4373,4184,4156,3948,2246,192
ASB,US,Financial Services,Banks Regional,8.22009810087,10.2253553012,1.0,2.01806,,0.08331939530723659,9.773331484229885,0.8143080694032111,0.0,7.257382479493254,0.8788962479958456,0.03976620800628068,3193817222.3999996,81,61,8,1297,4157,1990,2458,998,4175,4279,4071,807,1770
