,Country,Sector,Industry,Net_Income_Ratio,Operating_Income_Ratio,Gross_Profit_Ratio,EPS,Working_Capital,ROE,PE_Ratio,PB_Ratio,Current_Ratio,Debt_To_Equity,Debt_To_Asset,Dividend_Yield,Market_Capital,Net_Income_Ratio_Ranking,Operating_Income_Ratio_Ranking,Gross_Profit_Ratio_Ranking,EPS_Ranking,Working_Capital_Ranking,ROE_Ranking,PE_Ratio_Ranking,PB_Ratio_Ranking,Current_Ratio_Ranking,Debt_To_Equity_Ranking,Debt_To_Asset_Ranking,Dividend_Yield_Ranking,Market_Capital_Ranking
BLDR,US,Industrials,Building Products & Equipment,0.030466,0.053885,0.271526,1.8954,485566000.0,0.26887471165023946,13.759640050674227,3.6996192510361197,1.591215644447042,2.939000161221306,0.7461284693905813,,3052012000.0,2439,2501,2748,1362,847,504,2909,3196,2243,3588,3376,2359,1798
LAKE,US,Consumer Cyclical,Apparel Manufacturing,0.030433,0.054504,0.35152,0.40824,66868000.0,0.03857640031980435,51.710299359951236,1.9947972087664017,6.1679418811345545,0.16875558481869915,0.14438911523565212,,169661492.2,2440,2490,2321,2422,2010,2573,4123,2480,484,638,396,2359,3735
BNSO,HK,Technology,Scientific & Technical Instruments,0.030391,0.027642,0.565516,0.08263,5712000.0,0.026957464101869413,24.325747236180902,0.6557604578704956,1.9304446978335235,0.6391899214305067,0.38994256435684477,,9681647.399999999,2441,2810,1367,2752,2836,2686,3545,797,1855,1574,1342,2359,4624
BMCH,US,Industrials,Building Products & Equipment,0.030289,0.043033,0.262313,1.63139,538279000.0,0.11191406727579489,18.720190086030314,2.0950526127036655,2.37535707532948,0.9420047844550041,0.4850682099217198,,2056319280.0,2442,2632,2791,1540,772,1472,3236,2539,1517,2031,1801,2359,2082
IEC,US,Technology,Electronic Components,0.030239,0.04821,0.137877,0.45132,40915000.0,0.15195262483994879,14.690373267326732,2.2322407778489115,1.963385919472569,2.5477592829705507,0.7181319474519994,,69735201.9,2443,2566,3370,2385,2222,1015,2978,2618,1825,3447,3235,2359,4135
JKS,CN,Technology,Solar,0.030211,0.058816,0.1826,5.30612,411017530.0,0.09659588418541452,3.663693250355031,0.35389768890217943,1.0131411106708337,4.142758449957835,0.8055518242078192,,3292422746.4,2444,2443,3180,408,941,1755,2012,498,3096,3876,3664,2359,1746
PRGO,IE,Healthcare,Drug Manufacturers General Specialty & Generic,0.030202,0.042295,0.366581,1.07033,1421100000.0,0.025173162410834282,53.41737371663245,1.344684224129019,2.06385686480012,0.9472414624900927,0.4864530058222875,0.014402356717596808,7804278300.0,2445,2639,2238,1896,373,2708,4143,1914,1751,2041,1812,1616,1260
MANU,GB,Consumer Cyclical,Travel & Leisure,0.030107,0.079705,1.0,0.11476,-40521000.0,0.04547425108742251,154.98608872411418,7.047876313697912,0.9055110949436158,2.6043299406072227,0.7225559212174871,0.007971178980167984,2926292341.2000003,2446,2196,8,2696,3412,2485,4410,3723,3233,3473,3261,1884,1821
CNMD,US,Healthcare,Medical Devices,0.029966,0.078746,0.553774,0.97033,209276000.0,0.040283362914815185,107.21628308874914,4.319032442041643,2.112655313764375,1.4984904295343766,0.5997583227939913,0.0073650900717829116,3068530022.0,2447,2212,1414,1969,1349,2556,4340,3357,1700,2764,2548,1908,1794
EGY,US,Energy,Oil & Gas E&P,0.029862,0.250742,0.6470699589451142,0.04268,6008000.0,0.023004010207801677,52.253918383518226,1.202049671892089,1.094243137254902,0.927971199416697,0.4813200527567281,,131888890.0,2448,1032,1037,2824,2825,2737,4127,1694,2953,2020,1791,2359,3865
AMKR,US,Technology,Semiconductors,0.029829,0.055429,0.16025,0.50344,941730000.0,0.06156011567728705,23.776225431804644,1.4636671879511483,1.8885896718541086,1.3911604342532282,0.5817930132687624,,2874260340.0,2449,2478,3285,2324,522,2290,3519,2043,1913,2645,2428,2359,1838
JLL,US,Real Estate,Real Estate Services,0.029767,0.039782,0.557776,10.89026,378400000.0,0.10458959379457221,15.7507670838782,1.6473663312557394,1.0689228079122801,1.6714210351497627,0.6256673931805217,0.005064410753401171,8431385620.0,2450,2668,1391,126,995,1606,3069,2221,2991,2904,2690,2000,1228
AES,US,Utilities,Utilities Diversified,0.029738,0.18569,0.23054274217293158,0.45427,135000000.0,0.10113484646194927,68.53299519311022,6.9310739464327105,1.02649136577708,10.230974632843791,0.9109605325725154,0.017432763132280295,20765497543.512398,2451,1293,2927,2379,1606,1670,4223,3715,3070,4556,4353,1485,878
PCOM,CA,Communication Services,Internet Content & Information,0.029635,0.040748,0.163157,0.86077,14530000.0,0.30335272504592775,19.436111624190428,5.895997425494999,1.1505980390124584,2.5389875484792817,0.7174333093006489,,231075931.1,2452,2655,3275,2047,2610,426,3278,3608,2876,3441,3229,2359,3525
ANIP,US,Healthcare,Drug Manufacturers General Specialty & Generic,0.029504,0.079164,0.6942390835984061,0.50615,126019000.0,0.028638429256876465,118.99291762389235,3.40777025344117,3.0432421038977884,1.1466556386313331,0.5341590975264291,,725142840.0,2453,2203,834,2318,1651,2668,4372,3100,1147,2334,2110,2359,2758
SP,US,Industrials,Specialty Business Services,0.029332,0.053916,0.13710404520045683,2.1974,-158700000.0,0.13044640470462443,19007824.800204918,2479502.4064421277,0.5708491076257436,2.9550922213311948,0.7471613949716139,,927581850250000.0,2454,2500,3372,1213,3579,1223,4740,4700,3589,3594,3382,2359,19
HUBG,US,Industrials,Integrated Freight & Logistics,0.029217,0.041553,0.142054,3.20105,132857000.0,0.09966808614322423,16.835125173787684,1.6779247060530336,1.2618573647322238,0.8521462801747267,0.4600858416508751,,1804237200.0,2455,2647,3358,825,1615,1699,3131,2243,2704,1909,1683,2359,2167
CNXN,US,Technology,Electronics & Computer Distribution,0.029117,0.039706,0.1600370775671499,3.09794,467488000.0,0.13746752116147004,16.317307565125258,2.243099823007072,2.5132832453394536,0.5692552635808422,0.3627550448879003,0.0063082609099878156,1339830441.48,2456,2671,3287,852,869,1136,3101,2629,1430,1450,1217,1956,2357
HZO,US,Consumer Cyclical,Specialty Retail,0.029087,0.048928,0.260948,1.57269,155690000.0,0.09756818385169962,9.798486077532306,0.956020491080991,1.3770710571503997,1.1259289787131357,0.5296174001987034,,352598521.5,2457,2557,2794,1585,1516,1735,2460,1276,2546,2303,2079,2359,3249
AVD,US,Basic Materials,Agricultural Inputs,0.02905,0.056006,0.3788109853776063,0.45863,197561000.0,0.03951986889666314,39.786531725608405,1.572358517648973,2.4250133441047907,0.9470763258522298,0.4864094505579781,0.004292816125779165,541136618.0,2458,2471,2172,2373,1386,2564,3973,2143,1485,2039,1810,2026,2959
FIS,US,Technology,Information Technology Services,0.02884,0.093777,0.360302,0.66075,-1690000000.0,0.006027508090614887,222.09040973154362,1.3386517415048542,0.8372182623771913,0.6951051779935276,0.41006610505214425,0.009911919585092003,66182942099.99999,2459,2034,2276,2184,3898,2896,4456,1901,3315,1665,1436,1795,543
CASY,US,Consumer Defensive,Grocery Stores,0.028756,0.043101,0.233745,7.09534,-676178000.0,0.16056791453287933,22.467163612649045,3.607505606752049,0.36415253312871204,1.400121713358954,0.5833544630532479,0.007751686576490815,5927871250.543,2460,2631,2913,234,3768,958,3456,3167,3759,2654,2437,1895,1388
CLH,US,Industrials,Waste Management,0.028644,0.065651,0.300209,1.74135,680808000.0,0.07697196358833938,49.031041743400856,3.7740155597713994,1.9454353562005278,2.235833937753039,0.6909606552014844,,4792294020.0,2461,2358,2592,1452,662,2078,4098,3218,1846,3283,3073,2359,1524
PSX,US,Energy,Oil & Gas Refining & Marketing,0.028629,0.022002,0.109388,6.777,2749000000.0,0.1234845443596949,13.711032767750325,1.6931006340264956,1.2360467113171905,1.3572862304295463,0.575783378746594,0.0372257239539824,42175136793.600006,2462,2874,3455,256,221,1308,2905,2260,2746,2613,2394,848,650
DXPE,US,Industrials,Industrial Distribution,0.028437,0.05218,0.27401121695343,1.95502,260310000.0,0.10481323552509875,17.648142084084917,1.8497588728395993,2.756821510282039,1.2926568199137876,0.5638248204815914,0.00014152038176538188,635950800.0,2463,2523,2738,1324,1218,1597,3175,2375,1300,2530,2311,2169,2837
KRA,US,Basic Materials,Specialty Chemicals,0.028433,0.064253,0.237999,1.60927,283392000.0,0.06827530497988536,10.980163141993959,0.7496739872485338,1.7729350541669848,2.769261274640924,0.7346960247282767,,563337270.0,2464,2371,2893,1560,1167,2196,2587,902,2027,3530,3319,2359,2926
WMT,US,Consumer Defensive,Discount Stores,0.028401,0.039255,0.246885,5.18863,-15984000000.0,0.1992928792403809,20.48691746522411,4.0828967684045585,0.7945237177015041,2.167244773600825,0.6842681663460115,0.019838235797656437,304865818800.0,2465,2675,2855,426,4109,715,3354,3295,3361,3235,3025,1381,292
PANL,US,Industrials,Marine Shipping,0.028282,0.056425,0.27600526853829555,0.26944,36100620.0,0.06847716092646193,11148377.204931222,763409.2199309751,1.3973438515011745,1.8188794024833248,0.6452491017817086,6.224802537984662e-08,129967335520000.0,2466,2464,2728,2547,2273,2192,4735,4687,2522,3028,2814,2325,35
SYNH,US,Healthcare,Diagnostics & Research,0.028072,0.053071,0.22193029450480825,1.25002,45703000.0,0.04332441922410942,49.24416675555013,2.1334749248594065,1.030137932990034,1.4602792926188932,0.5935420815839448,,6463690840.0,2467,2507,2983,1791,2187,2515,4104,2559,3060,2715,2500,2359,1345
TRT,US,Technology,Semiconductor Equipment & Materials,0.028028,-0.024924,0.210823,0.25954,12957000.0,0.04030710172744722,13.384016563146998,0.5394709171326045,2.7888996272262876,0.48794125010431444,0.3279304542905216,0.018176249288419176,12928960.0,2468,3249,3038,2554,2642,2555,2871,664,1281,1301,1066,1447,4591
CLGX,US,Technology,Information Technology Services,0.028021,0.093935,0.500699,0.60947,-209765000.0,0.0519128268205759,76.89742816524908,3.991962871290251,0.6803892648945474,3.3719651811902733,0.7712699075687175,,3797195002.7999997,2469,2032,1639,2216,3612,2404,4257,3273,3490,3709,3498,2359,1656
PPIH,US,Industrials,Building Products & Equipment,0.028011,0.046529,0.227521,0.43168,31416000.0,0.06428301785040177,20.223523489932887,1.3000291215013753,1.9566673772039342,1.0173830196480254,0.5043083092002674,,72319320.0,2470,2584,2950,2400,2333,2250,3338,1847,1838,2140,1917,2359,4120
CFBI,US,Financial Services,Banks Regional,0.0279858100118,0.0256996452503,1.0,0.04724,,0.004600412093252297,253.62098704225352,1.1667610558917674,,3.1377013490222505,0.7583199183197931,,90035450.4,2471,2828,8,2811,4157,2917,4471,1654,4184,3643,3431,2359,4018
LEE,US,Communication Services,Publishing,0.027984,0.147223,0.9563855535113974,0.25083,-735000.0,-0.37075148113501716,7.805088240818615,-2.8937480256730073,0.9879583210459059,-15.426826733187818,1.0693153122647252,,111362999.02000001,2472,1543,99,2567,3133,3946,2258,169,3137,61,4640,2359,3940
HOFT,US,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0.027967,0.037174,0.186564,1.44306,171838000.0,0.062319194808132174,11.889002563952468,0.7409130668573367,4.427915976779908,0.43625625180121186,0.3037454153839902,0.03550470707728428,203099830.8,2473,2701,3158,1656,1457,2278,2699,886,752,1212,976,879,3616
GCO,US,Consumer Cyclical,Apparel Retail,0.027939,0.037922,0.483879,3.91704,146248000.0,0.09911147780793518,8.725967353056172,0.8648435196651937,1.4040725544641994,1.7133236348840626,0.6314483141106281,,535634780.0,2474,2690,1704,638,1560,1708,2341,1080,2508,2943,2728,2359,2967
KWR,US,Basic Materials,Specialty Chemicals,0.027898,0.0407,0.3459337999105428,2.08545,356038000.0,0.02548595137504211,93.48031946113467,2.382434876309881,1.9891757933398901,1.297230250442873,0.5646931778792246,0.007384893107183733,2956034662.0,2475,2656,2361,1261,1024,2704,4305,2703,1799,2537,2318,1907,1809
ARMK,US,Consumer Cyclical,Restaurants,0.027642,0.054917,0.104434,1.77989,-46911000.0,0.13510320787627403,24.492302814185294,3.3089886784735274,0.9826595813104508,3.137387512887619,0.7583015859923483,0.009870655414427765,10985997935.0,2476,2486,3470,1433,3438,1164,3554,3074,3146,3642,3430,1797,1114
DLNG,MC,Energy,Oil & Gas Midstream,0.027601,0.45772,0.762721,0.1018,-46463000.0,0.011517116290041344,20.03863825076114,0.23078732702808674,0.2811479848379361,2.153219405368704,0.6828638063379321,0.2263962784324775,72399600.0,2477,555,569,2720,3436,2847,3323,417,3809,3229,3020,95,4117
XIN,CN,Real Estate,Real Estate Development,0.027529,0.121356,0.225692,0.59898,1160491600.0,0.09900676173969397,5.405660176608135,0.5351969091511936,1.2587742435174147,9.75133535826454,0.9069882980413869,0.05318041241992703,369447304.10999995,2478,1776,2961,2224,442,1711,2094,656,2709,4528,4326,576,3212
NXPI,NL,Technology,Semiconductors,0.027374,0.07097,0.5207840486650895,0.84991,1476000000.0,0.025738798856053385,151.5947695539095,3.9018672811778417,1.8241206030150754,1.1201143946615824,0.5283273381294964,0.00865964706769948,36837529001.6,2479,2292,1564,2057,361,2703,4407,3252,1978,2290,2066,1851,686
THO,US,Consumer Cyclical,Recreational Vehicles,0.027299,0.033411,0.136902,4.02499,586996000.0,0.0961185145845601,24390.164088996924,2344.3463427080646,1.387384254141641,1.4879320556845428,0.5980597630408944,1.6239785128968185e-05,5438372447580.0,2480,2742,3374,605,728,1766,4662,4504,2529,2744,2529,2273,69
HVT,US,Consumer Cyclical,Home Improvement Retail,0.027251,0.034195,0.5416042474170271,0.99968,77507000.0,0.0839337742751523,18.011272068273495,1.5117540441868234,1.6102144611702462,1.1499637240262108,0.5348758731020298,0.03823100704262604,393816463.7728,2481,2738,1475,1945,1931,1981,3201,2095,2218,2340,2116,834,3167
SEM,US,Healthcare,Medical Care Facilities,0.027219,0.080736,0.149052,1.1395,298712000.0,0.19254784868970598,20.447633867523525,3.9371479119864277,1.326718291989325,8.52082306491027,0.8949670639626129,,3035430800.0,2482,2180,3330,1859,1137,753,3353,3262,2613,4428,4221,2359,1802
DBI,US,Consumer Cyclical,Apparel Retail,0.027056,0.036447,0.286218,1.26663,220779000.0,0.1310794352724458,10.36355560493984,1.3584490161101046,1.3246601993144431,2.419367636084193,0.7075482643494911,0.07409696104187952,979324914.0,2483,2707,2671,1778,1319,1215,2523,1929,2616,3383,3171,403,2562
COLD,US,Real Estate,REIT Industrial,0.027001,0.073704,0.26812561494193266,0.26182,-193073000.0,0.026274701066765303,129.47225115236077,3.401844695469439,0.6993653245471164,1.2753093532087518,0.5604993234920995,0.021720776759853278,6235642560.0,2484,2262,2766,2553,3602,2695,4385,3097,3469,2508,2290,1317,1364
ARCO,UY,Consumer Cyclical,Restaurants,0.027,0.054049,0.124208,0.38523,-190079000.0,0.18971453537795213,19.66898453540853,3.7314922624911544,0.6807793136920667,5.073270519402191,0.8353440709078718,0.014270049381018717,1571473188.441,2485,2496,3413,2444,3599,768,3298,3201,3489,3997,3788,1622,2263
SQFT,NaN,NaN,NaN,0.0269868721223838,0.005644718181497917,1.0,-0.03,,,,,,,,,,2486,3058,8,2952,4157,4758,4753,4719,4184,4785,4840,2359,4787
ECOM,US,Technology,Software Application,0.026793,0.028332,0.7786224886310298,0.12083,47946000.0,0.03494264869692621,76473.96344629524,2672.202839165471,2.3165829145728645,0.4738431895954801,0.3215017669047506,,266282340720.0,2487,2800,511,2692,2168,2611,4712,4525,1561,1284,1048,2359,314
MEOH,CA,Basic Materials,Chemicals,0.02673,0.057697,0.237501,1.1444,584275000.0,0.06590672719149047,30.06750710582565,1.981650988151853,1.9013167840603722,2.9022854503880424,0.7437399153102549,0.04087861362441965,2638934896.157,2488,2455,2894,1856,730,2231,3762,2472,1897,3577,3366,787,1902
WCC,US,Industrials,Industrial Distribution,0.026729,0.041419,0.189194,5.13777,1456352000.0,0.09862179499912381,9.85642530412754,0.9720583557678429,2.343425034984258,1.214819091557959,0.5484958551189953,,2202181680.0,2489,2650,3144,431,364,1716,2466,1306,1539,2430,2210,2359,2031
ZAGG,US,Consumer Cyclical,Specialty Retail,0.026671,0.019566,0.351334,0.47603,151660000.0,0.07269726706322886,17.162869252873563,1.2476936896474287,1.9477979914131978,1.4505611581426683,0.5919302006900652,,238907140.0,2490,2904,2324,2348,1542,2135,3149,1752,1843,2699,2484,2359,3508
TBI,US,Industrials,Staffing & Employment Services,0.026627,0.027938,0.2643378719585069,1.60987,190927000.0,0.10075993693018709,14.171402977502261,1.4279096702253933,1.8272185298475776,0.8150223731694498,0.4490426042221352,,893832900.0,2491,2806,2781,1558,1405,1676,2942,2008,1972,1858,1632,2359,2627
SUM,US,Basic Materials,Building Materials,0.026581,0.08955,0.313125,0.52417,496984000.0,0.04137992877994853,43.115746317678536,1.784126511919866,2.6605044487582568,1.8496119186749118,0.6490750219542153,,2546674672.0,2492,2070,2532,2299,827,2542,4016,2324,1351,3054,2841,2359,1932
SFM,US,Consumer Defensive,Grocery Stores,0.026554,0.038574,0.336269,1.24959,-28973000.0,0.25711570713735843,13.076237093076879,3.3621059468822168,0.9304890454209571,3.6790508495546024,0.786281442080248,,1956584280.0,2493,2683,2404,1794,3376,531,2828,3088,3203,3784,3575,2359,2120
PRIM,US,Industrials,Engineering & Construction,0.026503,0.045351,0.106533,1.6116,242259000.0,0.13098924108435614,13.543368834039864,1.7740356052964033,1.3613389852755173,1.912425099681465,0.6566435304690338,0.010951717566090218,1114984926.0,2494,2599,3464,1556,1262,1216,2889,2316,2563,3094,2882,1755,2483
BGCP,US,Financial Services,Capital Markets,0.026474,0.067341,0.9907971130546028,0.1062,-1672228000.0,0.0812261419077142,35.255907903854094,2.8637013784837557,0.1989737532016323,4.710078066448341,0.8248710458310777,0.09798468206537572,1964000861.6000001,2495,2336,29,2711,3897,2019,3897,2914,3856,3952,3743,295,2117
MAGS,IL,Industrials,Consulting & Outsourcing,0.026408,0.069549,0.446396,0.09907,67202000.0,0.02612152833154861,39.36523593545573,1.0282801257661023,3.3084744598261824,0.4473240527670821,0.309069729002196,,90264486.0,2496,2308,1880,2726,2004,2698,3967,1419,1046,1234,998,2359,4015
ZNH,NaN,Industrials,Airlines,0.02627622762794676,0.02627622762794676,1.0,-0.178,-67312000.0,-0.06213892762462265,-159.4381961134402,9.907318528893452,0.25682046526006647,0.0,0.0,,-646521885.24,2497,2825,8,3169,3477,3322,381,3902,3820,256,8,2359,4774
ANGI,US,Communication Services,Internet Content & Information,0.026262,0.030497,0.9650989100478433,0.06725,285039000.0,0.026500279999513043,,,2.326046502972729,0.46209278331689857,0.3160488777385225,,,2498,2780,83,2773,1164,2691,4753,4719,1549,1266,1031,2359,4787
DAN,US,Consumer Cyclical,Auto Parts,0.026218,0.032831,0.131206,1.55755,1317000000.0,0.1206620395088094,10.107948495575222,1.2196456807261078,1.7138211382113822,2.854778430325681,0.7405817174515236,0.02538963947569939,2284396360.0,2499,2750,3391,1596,396,1345,2491,1720,2090,3559,3349,1178,2001
WGO,US,Consumer Cyclical,Recreational Vehicles,0.0260841176923,0.0482960756653,0.132848064536,1.85,413220000.0,0.07425320194424907,27.02500775957814,2.006693358716854,2.3756117047837813,1.0710216492278837,0.5171465250627297,0.008785461569396087,1660470526.7640002,2500,2564,3385,1389,938,2118,3667,2490,1516,2219,1996,1845,2227
GPX,US,Consumer Defensive,Education & Training Services,0.02604,0.048021,0.1529479332750433,0.90084,92918000.0,0.07235820383585659,15.498698400158009,1.1214579780290976,1.752756466861638,1.1385043398725192,0.5323834600870568,,235409730.0,2501,2569,3320,2017,1844,2142,3053,1581,2049,2326,2102,2359,3516
CHSCN,United States,Consumer Defensive,Farm Products,0.0260146775972,0.0206768850587,0.0433954025669,0.0,1078888000.0,0.09638403092168071,,,1.193220740271651,0.910246987853856,0.47650748497005074,,,2502,2888,3572,2894,469,1760,4753,4719,2818,1992,1763,2359,4787
CHSCL,United States,Consumer Defensive,Farm Products,0.0260146775972,0.0206768850587,0.0433954025669,0.0,1078888000.0,0.09638403092168071,,,1.193220740271651,0.910246987853856,0.47650748497005074,,,2502,2888,3572,2894,469,1760,4753,4719,2818,1992,1763,2359,4787
CHSCP,United States,Consumer Defensive,Farm Products,0.0260146775972,0.0206768850587,0.0433954025668538,67.52482,1078888000.0,0.09638403092168071,0.41569901672530973,0.04006674688216452,1.193220740271651,0.910246987853856,0.47650748497005074,0.4889206717021232,344980300.0,2502,2888,3573,19,469,1760,1898,317,2818,1992,1763,65,3263
CHSCM,United States,Consumer Defensive,Farm Products,0.0260146775972,0.0206768850587,0.0433954025669,0.0,1078888000.0,0.09638403092168071,,,1.193220740271651,0.910246987853856,0.47650748497005074,,,2502,2888,3572,2894,469,1760,4753,4719,2818,1992,1763,2359,4787
VHI,US,Basic Materials,Chemicals,0.025929,0.067879,0.22903820816864295,1.72581,1102900000.0,0.076875,418445063.4146341,32167964.25,4.41984496124031,3.36625,0.7709705124534784,1.3163329103115376e-09,2.058749712e+16,2503,2328,2940,1465,461,2079,4751,4717,755,3708,3497,2337,1
CVS,US,Healthcare,Health Care Plans,0.025836,0.046375,0.381878,5.08352,-3001000000.0,0.10387698860077665,13.493747211335542,1.401689825253664,0.9436992289364576,2.4831673556307154,0.712904980467433,0.029078107046286664,89517519000.0,2504,2586,2151,440,3973,1620,2880,1983,3188,3419,3207,1045,490
NTGR,US,Technology,Communication Equipment,0.025823,0.02622,0.294592,0.80685,445718000.0,0.04237111318842175,32.38515179713853,1.372194932420777,2.4937380819126584,0.5702710561810305,0.3631672722593227,,835245450.0,2505,2826,2628,2086,889,2530,3821,1948,1447,1454,1221,2359,2665
WOR,US,Basic Materials,Steel,0.025758,0.006033,0.144923097140059,1.4075,594941000.0,0.09599656928855378,37.451479770546726,3.595213572752159,2.5324131074237965,1.8404670445809743,0.6479452201680024,0.01805778246405624,2951026800.0,2506,3050,3352,1682,720,1767,3931,3163,1423,3048,2835,1454,1813
ABG,US,Consumer Cyclical,Auto & Truck Dealerships,0.025575,0.046697,0.162115,9.5544,355600000.0,0.2853164165248337,10.406719088937093,2.969207798236113,1.2851643945469127,3.5045644437567693,0.7780029540068011,,1918999000.0000002,2507,2580,3277,160,1027,464,2528,2945,2671,3751,3541,2359,2132
MTW,US,Industrials,Farm & Heavy Construction Machinery,0.025408,0.045472,0.18761245297421078,1.30745,431500000.0,0.07214739123703359,11.107033781545063,0.8013435117200806,1.978679972782944,1.5045672704753057,0.600729430673178,,517587774.22,2508,2598,3153,1750,905,2143,2610,972,1807,2772,2556,2359,2989
TNP,GR,Energy,Oil & Gas Midstream,0.025318,0.143714,0.469653,0.85209,42814000.0,0.010421690565496942,18.616978326854422,0.1940203873870398,1.120875211744777,1.1731512281968532,0.5398387433764845,0.1751027254167401,281600414.172,2509,1574,1778,2053,2208,2857,3234,396,2908,2374,2151,124,3392
VIAV,US,Technology,Communication Equipment,0.025257,0.103934,0.585497,0.12281,680800000.0,0.04034298566207478,110.98714285714287,4.47755271296036,3.924398625429553,1.4969075063255552,0.599504588188932,,3185331000.0,2510,1934,1288,2690,663,2554,4349,3388,867,2761,2545,2359,1772
SMCI,US,Technology,Computer Hardware,0.025247,0.02565,0.157582,1.59559,885126000.0,0.07912232295361976,17.979830027992598,1.4226059181260207,2.250822811195037,0.8006325431236744,0.44463960522159895,,1515843510.0,2511,2829,3296,1571,549,2054,3200,2004,1604,1836,1609,2359,2284
AMEH,US,Healthcare,Medical Care Facilities,0.02518,0.057829,0.16555512567289568,0.38778,223644500.0,0.07369682788655328,44723839.997024775,3296005.1386864823,3.121382889196304,2.8043192092673963,0.7371408798809573,0.0003801400135914446,631346323510000.0,2512,2453,3259,2441,1308,2124,4747,4706,1104,3544,3334,2148,22
XPO,US,Industrials,Integrated Freight & Logistics,0.025168,0.049015,0.501261,3.95283,84000000.0,0.15275246080933286,22.748257756563248,3.474852351440029,1.0257826887661141,4.150565074735691,0.8058465458663646,0.0003147451823004096,9531520000.0,2513,2555,1635,629,1894,1010,3477,3124,3074,3877,3665,2150,1166
VEC,US,Industrials,Aerospace & Defense,0.025108,0.037331,0.0939729879462652,2.98967,75537000.0,0.13410851215884728,18.56567807351077,2.4898154636586636,1.3082149021335978,1.4583817820099279,0.5932283556126834,,644526080.0,2514,2696,3490,896,1940,1182,3230,2772,2639,2712,2497,2359,2830
HNGR,US,Healthcare,Medical Care Facilities,0.025067,0.059586,0.674175,0.72311,107249000.0,2.89614898989899,34.21321339872843,99.08656342592592,1.5146157020431275,87.62089646464646,0.9887159796403219,,941718698.8,2515,2430,929,2139,1752,73,3865,4237,2351,4773,4566,2359,2590
INDO,ID,Energy,Oil & Gas E&P,0.024882,0.024483,0.566222,0.01943,,,,,,,,,,2516,2853,1361,2860,4157,4758,4753,4719,4184,4785,4840,2359,4787
ULH,US,Industrials,Trucking,0.024858,0.043241,0.27822523574766633,1.33901,20268000.0,0.1831524678754684,12.893996174107379,2.361567220064614,1.0805644440027824,3.814401341019506,0.792289855131139,0.03103787200988612,484633740.2,2517,2627,2717,1729,2497,808,2804,2691,2970,3813,3602,993,3039
LPTH,US,Technology,Electronic Components,0.024792,0.061348,0.395862,0.03156,13854420.0,0.02507974382459078,128.53198746150207,3.223549318799986,2.8713565775770893,0.3763127427536253,0.27342095372940195,,111428235.88999999,2518,2412,2079,2846,2623,2710,4382,3045,1232,1067,830,2359,3939
ITRN,IL,Technology,Communication Equipment,0.024662,0.081827,0.46725,0.32747,73085000.0,0.053266836774143664,73.95136090869501,3.939155070749246,1.7231484688072032,1.6230186345008892,0.6187598567364806,0.03895959161976617,509450925.29999995,2519,2166,1790,2489,1957,2388,4246,3263,2078,2863,2648,822,3004
BZH,US,Consumer Cyclical,Residential Construction,0.02455294284127937,0.03719047312344593,0.16343555028802437,1.7582143819014273,1566056000.0,0.08804543715050128,6.92748286294183,0.6099332570203195,12.84682885499879,2.3843191929477334,0.8166208981560179,,361794720.0,2520,2699,3273,1442,342,1906,2196,736,170,3356,3706,2359,3224
OSG,US,Energy,Oil & Gas Midstream,0.024399,0.083758,0.5639620078358135,0.09676,-104035000.0,0.025399288527134054,19136.412850720462,486.0512713698049,0.3559958896647353,2.4416167708501075,0.709438886842421,,166008381480.0,2521,2144,1370,2729,3526,2705,4645,4271,3761,3392,3180,2359,390
RUSHB,United States,Consumer Cyclical,Auto & Truck Dealerships,0.02436948855968152,0.03724796883635662,0.17653270387326894,3.76841,205162000.0,0.12210767982212915,11.70121785807618,1.4288085637429464,1.1361042172922848,2.9386369732288165,1.0,0.011056359966657636,1656693528.0,2522,2698,3209,678,1367,1324,2678,2009,2893,3587,4578,1749,2229
RUSHA,US,Consumer Cyclical,Auto & Truck Dealerships,0.024369,0.037248,0.177113,3.76841,205162000.0,0.12210767982212915,11.633150049794114,1.4204969616030456,1.1361042172922848,1.9386369732288165,0.6597061804128689,0.011121052864736544,1647056283.5000002,2523,2697,3204,678,1367,1324,2669,2002,2893,3108,2897,1745,2232
TSE,US,Basic Materials,Specialty Chemicals,0.024366,0.039171,0.087107,2.26044,963500000.0,0.13753924353416055,13.278242282608696,1.8262793990133055,2.826194086429113,3.1243833158917624,0.7575395099318545,0.05378200062804606,1221598290.0,2524,2676,3504,1181,509,1134,2857,2355,1261,3637,3425,561,2420
KRMD,US,Healthcare,Medical Instruments & Supplies,0.024365,0.025286,0.641284,0.01445,9475030.0,0.050226591480302736,429.1310746876938,21.553791179842083,4.937609348831604,0.23547180155356673,0.1905926151106552,,242180122.0,2525,2837,1069,2867,2725,2434,4504,4118,646,788,548,2359,3497
FSP,US,Real Estate,REIT Office,0.024065,0.025065,0.553335,0.06038,,0.008233765176832029,124.15511264864867,1.022264043052101,0.0,1.3431629865869104,0.5732264440312723,0.04801939408427714,803904354.4000001,2526,2843,1416,2784,4157,2874,4377,1409,4175,2598,2378,658,2690
